"ancestor_concept_id","descendant_concept_id","min_levels_of_separation","max_levels_of_separation"
5083,5083,0,0
8546,38004197,1,1
8546,8546,0,0
8668,8668,0,0
8668,38004358,1,1
8716,8716,0,0
8717,8717,0,0
8717,38004287,1,1
8717,38004285,1,1
8717,38004290,2,2
8717,38004282,2,2
8717,38004277,1,1
8717,8913,1,1
8717,38004284,1,1
8717,38004515,1,1
8717,38004279,1,1
8717,581379,2,2
8717,581383,2,2
8717,38004280,2,2
8717,38004283,2,2
8717,32037,1,1
8717,38004278,1,1
8717,38004291,2,2
8717,38004288,1,1
8717,38004275,1,1
8717,32254,1,1
8717,38004281,2,2
8717,38004286,2,2
8717,38004276,2,2
8717,38004270,1,1
8717,38004274,2,2
8756,8756,0,0
8756,32693,1,1
8756,32276,1,1
8756,581385,1,1
8756,5084,1,1
8756,38004515,1,1
8761,8761,0,0
8782,8782,0,0
8809,8809,0,0
8850,8850,0,0
8850,38004354,1,1
8850,38004356,1,1
8850,38004360,1,1
8850,38004359,1,1
8850,38004364,1,1
8870,8870,0,0
8883,38004261,1,1
8883,8883,0,0
8883,38004262,1,1
8913,8913,0,0
8947,8947,0,0
8949,8949,0,0
8964,8964,0,0
8966,8966,0,0
8971,8971,0,0
8977,8977,0,0
9201,38004285,2,2
9201,38004288,2,2
9201,581384,1,1
9201,32254,2,2
9201,8717,1,1
9201,38004286,3,3
9201,8913,2,2
9201,38004275,2,2
9201,9201,0,0
9201,38004281,3,3
9201,38004274,3,3
9201,38004283,3,3
9201,38004278,2,2
9201,38004277,2,2
9201,32760,1,1
9201,581383,3,3
9201,38004270,2,2
9201,38004284,2,2
9201,38004291,3,3
9201,38004279,2,2
9201,38004276,3,3
9201,38004290,3,3
9201,32037,2,2
9201,38004280,3,3
9201,581379,3,3
9201,38004287,2,2
9201,38004515,2,2
9201,8971,1,1
9201,38004282,3,3
9202,38004229,2,2
9202,9202,0,0
9202,38004239,2,2
9202,38004267,2,2
9202,38004696,1,1
9202,38004235,2,2
9202,38004243,2,2
9202,38004223,2,2
9202,903270,3,3
9202,8650,2,2
9202,38004210,2,2
9202,38003821,2,2
9202,38004253,3,3
9202,38004264,2,2
9202,38004246,2,2
9202,8966,1,1
9202,38004453,1,1
9202,32276,2,2
9202,8716,1,1
9202,38004218,2,2
9202,8905,1,1
9202,8782,1,1
9202,38004256,3,3
9202,38004241,2,2
9202,38004216,2,2
9202,38004211,2,2
9202,8960,1,1
9202,38004260,2,2
9202,38004228,2,2
9202,705159,2,2
9202,8756,1,1
9202,38004238,2,2
9202,38004245,2,2
9202,38004259,2,2
9202,38004263,2,2
9202,38004231,2,2
9202,8584,1,1
9202,38004261,3,3
9202,38004217,2,2
9202,38004227,2,2
9202,38004266,2,2
9202,38004288,2,2
9202,38004209,2,2
9202,38004258,2,2
9202,38004526,2,2
9202,581477,1,1
9202,38004215,2,2
9202,38004208,2,2
9202,38004677,1,1
9202,8761,1,1
9202,38004291,3,3
9202,38004242,2,2
9202,8968,2,2
9202,8974,2,2
9202,38004225,2,2
9202,32261,1,1
9202,581479,1,1
9202,38004233,2,2
9202,38004234,2,2
9202,8941,1,1
9202,5084,2,2
9202,38004269,3,3
9202,8977,1,1
9202,38004220,2,2
9202,38003820,2,2
9202,38003620,1,1
9202,38004222,2,2
9202,38004237,2,2
9202,32693,2,2
9202,8949,1,1
9202,38004290,3,3
9202,38004251,3,3
9202,38004207,1,1
9202,38004247,2,2
9202,38004232,2,2
9202,38004252,3,3
9202,38004515,2,2
9202,38004213,2,2
9202,8858,1,1
9202,38004702,1,1
9202,38004257,3,3
9202,38004268,2,2
9202,581380,1,1
9202,38004262,3,3
9202,38004226,2,2
9202,38004254,2,2
9202,8947,2,2
9202,581385,2,2
9202,38004249,2,2
9202,38004244,2,2
9202,38004248,2,2
9202,8969,2,2
9202,38004236,2,2
9202,38004240,2,2
9202,38004219,2,2
9202,38004250,2,2
9202,38004693,1,1
9202,8883,2,2
9202,8964,1,1
9202,38004204,3,3
9203,8870,1,1
31821,37209399,3,3
31821,37209400,3,3
31821,37117191,3,3
31821,199881,2,2
31821,4034015,3,3
31821,37209188,4,4
32036,8809,1,1
75865,4276944,4,4
79069,4317964,1,1
134730,4200841,1,1
135930,4200841,3,3
139882,139882,0,0
141960,139882,4,4
141960,4146995,3,3
192438,4034015,4,4
193254,4211992,1,1
193254,4200841,2,2
194420,194420,0,0
194421,194421,0,0
194421,4317964,1,1
194421,4224161,1,1
194421,4260818,1,1
194421,36717630,1,1
196738,4003678,2,2
197033,4195507,1,1
197033,197033,0,0
197033,37110261,1,1
197033,4182703,1,1
197033,4272614,1,1
197033,4222798,1,1
197033,37119080,1,1
197033,4019817,1,1
197324,4222798,3,3
197324,4182703,3,3
197324,4195507,3,3
197324,37119080,3,3
197324,4019817,3,3
197324,37110262,1,1
197324,37110261,3,3
197324,197033,2,2
197324,4272614,3,3
197331,4276944,3,3
197610,4034015,1,1
199881,199881,0,0
199881,37209188,2,2
199881,37117191,1,1
199881,4034015,1,1
199881,37209400,1,1
199881,37209399,1,1
200174,139882,4,4
200174,4146995,3,3
200452,194420,3,3
200452,37209188,4,4
200452,37209399,3,3
200452,4034015,3,3
200452,200461,2,2
200452,4127413,3,3
200452,199881,2,2
200452,4189364,3,3
200452,4211992,2,2
200452,4058381,3,4
200452,37209400,3,3
200452,4200841,3,3
200452,37117191,3,3
200461,200461,0,0
200461,4127413,1,1
200461,4058381,1,1
200461,4189364,1,1
200780,200461,1,1
200780,4189364,2,2
200780,4127413,2,2
200780,4058381,2,3
201131,4034015,4,4
201337,4276944,1,1
201618,4224161,2,3
201618,4317964,2,3
201618,4260818,2,4
201618,194421,1,1
201618,36717630,2,2
201618,36713393,2,2
253549,37119080,5,5
253549,4272614,5,5
253549,37110262,3,3
253549,4019817,5,5
253549,197033,4,4
253549,4222798,5,5
253549,4051345,3,3
253549,4200841,2,2
253549,4182703,5,5
253549,4195507,5,5
253549,37110261,5,5
257907,4176409,1,1
257907,4051345,2,2
320136,4176409,3,3
320136,4051345,4,4
376208,4019817,3,5
376208,197033,2,4
376208,139882,4,5
376208,4195507,3,5
376208,37110261,3,5
376208,37110262,2,3
376208,37119080,3,5
376208,4272614,3,5
376208,4182703,3,5
376208,4072148,2,4
376208,4222798,3,5
376208,4200841,2,3
376208,4146995,3,4
433524,4224161,1,1
433527,4307585,1,1
433527,194420,2,2
433527,4034015,3,3
433527,4230333,1,1
433527,37209399,3,3
433527,4211992,2,2
433527,4272614,3,3
433527,4176409,3,3
433527,4264439,1,1
433527,4195507,3,3
433527,4187787,1,1
433527,433527,0,0
433527,4034016,1,1
433527,199881,2,2
433527,36717630,2,2
433527,37117191,3,3
433527,37119080,3,3
433527,139882,3,3
433527,37209188,4,4
433527,197033,2,2
433527,4189364,3,3
433527,37209400,3,3
433527,4127413,3,3
433527,4051345,4,4
433527,36713393,2,2
433527,36713394,2,2
433527,200461,2,2
433527,4182703,3,3
433527,4003678,1,1
433527,4200841,3,3
433527,194421,1,1
433527,4276944,2,2
433527,37110261,3,3
433527,4146995,2,2
433527,4222798,3,3
433527,4288543,1,1
433527,4072148,2,2
433527,4132140,1,1
433527,4224161,2,2
433527,4317964,2,2
433527,4260818,2,2
433527,4019817,3,3
433527,37110262,1,1
433527,4058381,3,3
441840,4176409,5,8
441840,200461,4,11
441840,37110261,5,10
441840,4272614,5,10
441840,4003678,3,11
441840,4034015,5,12
441840,194420,4,12
441840,4211992,4,11
441840,37119080,5,10
441840,4187787,3,3
441840,37209399,5,12
441840,37209188,6,13
441840,36713393,4,10
441840,4307585,3,11
441840,433527,2,2
441840,4127413,5,12
441840,4230333,3,3
441840,4195507,5,10
441840,4264439,3,3
441840,194421,3,9
441840,4189364,5,12
441840,36717630,4,10
441840,4019817,5,10
441840,199881,4,11
441840,4317964,4,11
441840,4034016,3,3
441840,4260818,4,12
441840,37117191,5,12
441840,37110262,3,8
441840,36713394,4,7
441840,139882,5,9
441840,4146995,4,8
441840,4072148,4,9
441840,4222798,5,10
441840,4200841,5,12
441840,4182703,5,10
441840,4132140,3,8
441840,4288543,3,3
441840,4224161,4,11
441840,4276944,4,11
441840,4058381,5,13
441840,37209400,5,12
441840,197033,4,9
441840,4051345,5,9
442259,4307585,1,1
442781,4189364,1,1
443285,4189364,1,1
443343,37209399,3,3
443343,37209188,4,4
443343,4127413,3,3
443343,4307585,2,2
443343,4211992,2,2
443343,200461,2,2
443343,4034015,3,3
443343,37117191,3,3
443343,4189364,3,3
443343,37209400,3,3
443343,194420,3,3
443343,4058381,3,4
443343,4200841,3,3
443343,199881,2,2
444089,36717630,4,4
444089,4182703,4,4
444089,4222798,4,4
444089,37209188,4,4
444089,4072148,3,3
444089,4276944,2,2
444089,37119080,4,4
444089,4272614,4,4
444089,4224161,4,5
444089,200461,2,2
444089,4189364,3,3
444089,4200841,3,3
444089,4127413,3,3
444089,37110261,4,4
444089,36713393,4,4
444089,4034015,3,4
444089,37209399,3,3
444089,4195507,4,4
444089,37117191,3,3
444089,197033,3,3
444089,194420,3,3
444089,199881,2,2
444089,4317964,3,5
444089,4260818,4,6
444089,37209400,3,3
444089,194421,3,3
444089,4211992,2,2
444089,4058381,3,4
444089,4019817,4,4
444089,37110262,2,2
444112,139882,5,6
444112,4146995,4,5
444363,4003678,1,1
581380,581380,0,0
581385,581385,0,0
581458,581458,0,0
581458,38004347,2,2
581458,38004323,2,2
581458,38004344,2,2
581458,38004326,1,1
581458,38004338,1,1
581458,38004343,2,2
581458,38004346,2,2
581458,38004341,2,2
581458,38004340,2,2
581458,38004345,2,2
581458,38004342,2,2
581458,38004687,1,1
581458,38004339,2,2
581458,38004324,2,2
581458,38004325,2,2
581458,38004348,2,2
581476,38004206,1,1
581476,38004201,1,1
581476,44777714,1,1
581476,38004205,1,1
581476,38003619,1,1
581476,8672,1,1
581476,8537,1,1
581476,38004203,1,1
581476,44777691,1,1
581476,38004307,2,2
581476,8602,1,1
581476,38004199,1,1
581476,38004196,1,1
581476,581476,0,0
581476,38004306,1,1
581476,38004198,1,1
581476,38004202,1,1
581476,38004519,1,1
581476,581475,1,1
581476,8851,1,1
581477,581477,0,0
581478,8668,2,2
581478,8850,2,2
581479,8947,1,1
2109444,2109444,0,0
2109445,2109445,0,0
2109446,2109446,0,0
4000610,4224161,4,5
4000610,4260818,4,6
4000610,4317964,4,5
4000610,36713393,4,4
4000610,36717630,4,4
4000610,194421,3,3
4000738,2109446,2,3
4000738,2109444,2,3
4000738,2109445,2,3
4000740,2109445,2,5
4000740,2109444,2,5
4000740,2109446,2,5
4001716,36713393,1,1
4002905,4317964,2,2
4002905,36717630,1,1
4002905,4260818,3,3
4002905,4224161,2,2
4003678,4003678,0,0
4019817,4019817,0,0
4021780,4276944,3,3
4024000,4276944,5,5
4024567,4051345,3,5
4024567,4176409,4,4
4024969,2109445,2,4
4024969,2109446,2,4
4024969,2109444,2,4
4027553,4051345,3,3
4027553,4176409,2,2
4027880,4260818,2,2
4028071,4317964,5,7
4028071,4307585,6,7
4028071,199881,4,7
4028071,4034015,5,8
4028071,36717630,6,6
4028071,4272614,5,6
4028071,36713394,3,3
4028071,4003678,6,7
4028071,37209400,5,8
4028071,36713393,6,6
4028071,37110262,3,4
4028071,200461,4,7
4028071,37117191,5,8
4028071,4051345,5,5
4028071,4189364,5,8
4028071,4058381,5,9
4028071,4260818,6,8
4028071,37209188,6,9
4028071,4019817,5,6
4028071,4127413,5,8
4028071,197033,4,5
4028071,37209399,5,8
4028071,37119080,5,6
4028071,37110261,5,6
4028071,4132140,4,4
4028071,194420,5,8
4028071,4182703,4,6
4028071,4224161,6,7
4028071,4176409,4,4
4028071,4211992,4,7
4028071,4222798,4,6
4028071,4195507,4,6
4028071,4276944,4,7
4028071,4072148,4,5
4028071,4200841,3,8
4028071,194421,5,5
4028387,139882,5,5
4028387,4146995,4,4
4029205,2109446,5,9
4029205,2109444,5,9
4029205,2109445,5,9
4029698,2109445,1,2
4029698,2109446,1,2
4029698,2109444,1,2
4030166,2109444,1,4
4030166,2109446,1,4
4030166,2109445,1,4
4031313,2109446,1,2
4031313,2109445,1,2
4031313,2109444,1,2
4032123,2109446,2,3
4032123,2109444,2,3
4032123,2109445,2,3
4034005,4019817,1,1
4034015,4034015,0,0
4034016,4146995,1,1
4034016,36713394,1,1
4034016,4176409,2,2
4034016,36717630,1,1
4034016,4072148,1,1
4034016,4034016,0,0
4034016,139882,2,2
4034016,36713393,1,1
4034016,4051345,3,3
4038678,4260818,4,4
4038678,4317964,3,3
4038678,4224161,3,3
4038678,36717630,2,2
4040396,2109444,3,6
4040396,2109445,3,6
4040396,2109446,3,6
4040400,2109445,4,6
4040400,2109444,4,6
4040400,2109446,4,6
4041285,4058381,5,8
4041285,199881,4,6
4041285,4019817,3,5
4041285,37117191,5,7
4041285,4276944,6,6
4041285,37209400,5,7
4041285,37209399,5,7
4041285,4195507,3,4
4041285,4127413,5,7
4041285,194420,4,7
4041285,37209188,6,8
4041285,4034015,5,7
4041285,4189364,5,7
4041285,200461,4,6
4041285,4307585,4,6
4041285,4003678,3,6
4041285,4222798,3,4
4041285,4182703,3,4
4041285,4211992,4,6
4041285,4200841,5,7
4042140,4051345,4,8
4042140,4224161,6,10
4042140,36713394,5,6
4042140,4132140,6,7
4042140,199881,5,10
4042140,37117191,6,11
4042140,4317964,6,10
4042140,4146995,5,7
4042140,37110262,4,7
4042140,4222798,5,9
4042140,37119080,5,9
4042140,36713393,6,9
4042140,4182703,5,9
4042140,37209400,6,11
4042140,4072148,4,8
4042140,139882,6,8
4042140,4260818,6,11
4042140,194420,7,11
4042140,4211992,6,10
4042140,4307585,8,10
4042140,4200841,4,11
4042140,37209188,7,12
4042140,200461,6,10
4042140,4272614,5,9
4042140,37209399,6,11
4042140,4127413,6,11
4042140,4034015,6,11
4042140,37110261,5,9
4042140,36717630,6,9
4042140,197033,4,8
4042140,4003678,7,10
4042140,4189364,7,11
4042140,4019817,5,9
4042140,194421,5,8
4042140,4058381,7,12
4042140,4195507,5,9
4042140,4276944,6,10
4042140,4176409,4,7
4042150,2109445,4,6
4042150,2109446,4,6
4042150,2109444,4,6
4042178,36713393,2,2
4042514,4003678,1,1
4042833,4072148,2,2
4042838,4019817,2,2
4042838,197033,1,1
4042838,37119080,2,2
4042838,4272614,2,2
4042838,4182703,2,2
4042838,37110261,2,2
4042838,4222798,2,2
4042838,4195507,2,2
4043022,2109445,4,7
4043022,2109444,4,7
4043022,2109446,4,7
4043161,2109444,3,5
4043161,2109446,3,5
4043161,2109445,3,5
4043346,4051345,3,3
4043346,36713394,1,1
4043346,4176409,2,2
4047779,37209400,5,9
4047779,4222798,4,7
4047779,4058381,6,10
4047779,4146995,4,6
4047779,36713394,4,4
4047779,4200841,3,9
4047779,4051345,4,6
4047779,37110262,3,5
4047779,4272614,4,7
4047779,36713393,6,8
4047779,4034015,5,9
4047779,4072148,3,6
4047779,4189364,6,9
4047779,37209188,6,10
4047779,4307585,7,8
4047779,4003678,7,8
4047779,37209399,5,9
4047779,4224161,6,9
4047779,4127413,6,9
4047779,4132140,5,5
4047779,4276944,5,8
4047779,4182703,4,7
4047779,197033,3,6
4047779,200461,5,8
4047779,4317964,6,9
4047779,4260818,6,10
4047779,37117191,5,9
4047779,199881,4,8
4047779,37119080,4,7
4047779,139882,5,7
4047779,36717630,6,8
4047779,4195507,4,7
4047779,37110261,4,7
4047779,4019817,4,7
4047779,194420,6,9
4047779,194421,5,7
4047779,4211992,5,8
4047779,4176409,5,5
4051345,4051345,0,0
4052554,4051345,2,2
4053317,4307585,4,4
4058381,4058381,0,0
4067285,2109446,2,5
4067285,2109444,2,5
4067285,2109445,2,5
4072148,4072148,0,0
4083787,4146995,3,3
4083787,139882,4,4
4088775,4307585,2,2
4088777,4200841,3,3
4088777,4211992,2,2
4089548,4058381,3,3
4089548,4127413,1,1
4090861,4003678,3,4
4091213,4276944,4,4
4091532,4260818,3,5
4091532,4224161,3,4
4091532,4317964,3,4
4091532,36717630,3,3
4091532,194421,2,2
4091532,36713393,3,3
4092881,4276944,2,2
4093227,37110262,2,2
4093227,37119080,4,4
4093227,4272614,4,4
4093227,197033,3,3
4093227,4019817,4,4
4093227,37110261,4,4
4093227,4182703,4,4
4093227,4222798,4,4
4093227,4200841,2,2
4093227,4072148,3,3
4093227,4195507,4,4
4093991,4072148,3,5
4093991,4019817,4,6
4093991,4200841,3,4
4093991,4182703,4,6
4093991,197033,3,5
4093991,139882,5,6
4093991,4222798,4,6
4093991,4146995,4,5
4093991,37110262,3,4
4093991,4272614,4,6
4093991,37110261,4,6
4093991,4195507,4,6
4093991,37119080,4,6
4095793,4058381,4,6
4095793,37117191,4,5
4095793,4019817,3,3
4095793,4189364,4,5
4095793,37209399,4,5
4095793,4127413,3,5
4095793,37209400,4,5
4095793,200461,3,4
4095793,4034015,4,5
4095793,37209188,5,6
4095793,199881,3,4
4095793,4307585,3,4
4095793,4222798,2,2
4095793,194420,4,5
4095793,4211992,3,4
4095793,4195507,2,2
4095793,4200841,4,5
4095793,4182703,2,2
4095922,4189364,2,2
4096860,4072148,2,2
4096864,4189364,5,5
4096864,36717630,4,4
4096864,37209188,6,6
4096864,194421,3,3
4096864,36713393,4,4
4096864,37209399,5,5
4096864,194420,5,5
4096864,4127413,4,5
4096864,4034015,5,6
4096864,200461,4,4
4096864,4260818,4,6
4096864,37117191,5,5
4096864,4058381,5,6
4096864,37209400,5,5
4096864,4317964,4,5
4096864,4276944,4,4
4096864,199881,4,4
4096864,4224161,4,5
4096976,4317964,2,2
4101219,4260818,3,3
4102111,4034015,7,8
4103995,4317964,1,1
4104155,4276944,1,1
4104157,4034015,4,6
4104157,4189364,4,6
4104157,4307585,3,5
4104157,200461,3,5
4104157,4127413,4,6
4104157,4003678,2,5
4104157,199881,3,5
4104157,37209400,4,6
4104157,37209399,4,6
4104157,4058381,4,7
4104157,4019817,2,4
4104157,37117191,4,6
4104157,37209188,5,7
4104157,4182703,2,3
4104157,4222798,2,3
