"ancestor_concept_id","descendant_concept_id","min_levels_of_separation","max_levels_of_separation"
4104157,4195507,2,3
4104157,4211992,3,5
4104157,194420,3,6
4104157,4200841,4,6
4113552,4224161,2,2
4113998,4034015,5,5
4113999,4034015,6,7
4115107,4034015,4,4
4115259,4051345,4,4
4115259,4176409,3,3
4115260,4176409,2,2
4115260,4051345,3,3
4115728,4003678,2,2
4116778,4051345,2,2
4116778,4176409,1,1
4116786,4051345,2,2
4117930,4260818,7,9
4117930,199881,5,8
4117930,197033,5,6
4117930,194421,6,6
4117930,37209400,6,9
4117930,4276944,5,8
4117930,4132140,5,5
4117930,36713394,4,4
4117930,4176409,5,5
4117930,37110262,4,5
4117930,4019817,5,7
4117930,194420,6,9
4117930,4211992,5,8
4117930,37110261,6,7
4117930,4317964,6,8
4117930,4051345,5,6
4117930,37117191,6,9
4117930,36717630,7,7
4117930,4189364,6,9
4117930,4034015,6,9
4117930,4072148,5,6
4117930,37119080,6,7
4117930,4307585,6,8
4117930,4222798,5,7
4117930,37209188,7,10
4117930,36713393,7,7
4117930,37209399,6,9
4117930,4058381,6,10
4117930,200461,5,8
4117930,4200841,4,9
4117930,4182703,5,7
4117930,4003678,5,8
4117930,4195507,5,7
4117930,4127413,6,9
4117930,4272614,6,7
4117930,4224161,7,8
4124325,4307585,1,1
4124486,4058381,3,4
4124486,4127413,2,3
4124486,4189364,3,3
4124486,200461,2,2
4124650,37117191,2,2
4124650,37209188,3,3
4124650,4034015,2,3
4124650,37209399,2,2
4124650,199881,1,1
4124650,37209400,2,2
4126903,4211992,1,1
4126903,4200841,2,2
4127413,4127413,0,0
4127688,4058381,2,2
4127688,4189364,2,2
4127688,200461,1,1
4127688,4127413,2,2
4127855,194420,3,3
4128194,4307585,2,2
4129482,37209400,3,3
4129482,199881,2,2
4129482,37209188,4,4
4129482,37209399,3,3
4129482,4034015,3,4
4129482,37117191,3,3
4129486,4307585,3,3
4129499,4034015,2,2
4132140,194420,1,1
4132140,4222798,2,2
4132140,4195507,2,2
4132140,4182703,2,2
4132140,4211992,1,1
4132140,4276944,1,1
4132140,37110261,2,2
4132140,4200841,2,2
4132140,4132140,0,0
4132140,4034015,2,2
4132140,4058381,2,2
4132140,37209399,2,2
4132140,37117191,2,2
4132140,4127413,2,2
4132140,4317964,1,1
4132140,37209400,2,2
4132140,199881,1,1
4132140,37119080,2,2
4132140,4019817,2,2
4132140,197033,1,1
4132140,4272614,2,2
4132140,4189364,2,2
4132140,200461,1,1
4132140,37209188,3,3
4132397,2109445,3,4
4132397,2109446,3,4
4132397,2109444,3,4
4134442,194420,2,2
4134598,2109444,3,5
4134598,2109446,3,5
4134598,2109445,3,5
4134602,2109445,4,5
4134602,2109446,4,5
4134602,2109444,4,5
4136165,2109445,3,4
4136165,2109446,3,4
4136165,2109444,3,4
4136166,2109444,1,2
4136166,2109446,1,2
4136166,2109445,1,2
4145825,4317964,2,2
4146995,4146995,0,0
4146995,139882,1,1
4159949,2109446,3,4
4159949,2109444,3,4
4159949,2109445,3,4
4171379,37209399,6,6
4171379,200461,5,5
4171379,4127413,6,6
4171379,4195507,3,3
4171379,194420,6,6
4171379,4034015,5,6
4171379,4019817,4,4
4171379,37209188,7,7
4171379,37209400,6,6
4171379,4189364,6,6
4171379,4003678,5,5
4171379,4058381,6,7
4171379,4307585,5,5
4171379,4276944,5,5
4171379,37117191,6,6
4171379,199881,5,5
4171379,4200841,6,6
4171379,4211992,5,5
4171379,4222798,3,3
4171379,4182703,3,3
4176409,4176409,0,0
4176409,4051345,1,1
4176801,2109446,3,4
4176801,2109444,3,4
4176801,2109445,3,4
4178683,2109445,2,6
4178683,2109444,2,6
4178683,2109446,2,6
4179871,4222798,2,2
4179871,37209400,5,5
4179871,4019817,3,3
4179871,4200841,5,5
4179871,199881,4,4
4179871,4127413,5,5
4179871,37117191,5,5
4179871,4058381,5,6
4179871,4182703,2,2
4179871,37209399,5,5
4179871,4211992,4,4
4179871,37209188,6,6
4179871,4195507,2,2
4179871,194420,5,5
4179871,4307585,4,4
4179871,200461,4,4
4179871,4003678,4,4
4179871,4034015,4,5
4179871,4189364,5,5
4180154,4019817,2,2
4180154,199881,3,3
4180154,37117191,4,4
4180154,4034015,3,4
4180154,200461,3,3
4180154,4127413,4,4
4180154,4058381,4,5
4180154,4307585,3,3
4180154,37209188,5,5
4180154,4189364,4,4
4180154,37209399,4,4
4180154,37209400,4,4
4180154,194420,4,4
4180154,4182703,1,1
4180154,4222798,1,1
4180154,4200841,4,4
4180154,4195507,1,1
4180154,4211992,3,3
4180627,2109445,3,9
4180627,2109446,3,9
4180627,2109444,3,9
4180628,4058381,7,8
4180628,4200841,3,7
4180628,4260818,5,9
4180628,4019817,5,5
4180628,4317964,5,8
4180628,37209400,4,7
4180628,37117191,4,7
4180628,199881,3,6
4180628,4051345,5,5
4180628,139882,6,6
4180628,36713393,5,7
4180628,4189364,7,7
4180628,4176409,4,4
4180628,4307585,6,6
4180628,4211992,6,6
4180628,37209399,4,7
4180628,4127413,7,7
4180628,36717630,5,7
4180628,37209188,5,8
4180628,4224161,5,8
4180628,4003678,6,6
4180628,200461,6,6
4180628,4146995,5,5
4180628,4222798,4,4
4180628,4182703,4,4
4180628,4276944,6,6
4180628,194421,4,6
4180628,4195507,4,4
4180628,194420,7,7
4180628,4034015,4,7
4180645,4200841,1,1
4180645,4222798,4,4
4180645,4182703,4,4
4180645,37110261,4,4
4180645,197033,3,3
4180645,4195507,4,4
4180645,4272614,4,4
4180645,4051345,2,2
4180645,37110262,2,2
4180645,4019817,4,4
4180645,37119080,4,4
4180648,2109445,1,3
4180648,2109446,1,3
4180648,2109444,1,3
4181194,4003678,3,3
4182703,4182703,0,0
4185503,4051345,3,4
4185503,36713394,2,2
4185503,4176409,3,3
4187787,4187787,0,0
4189364,4189364,0,0
4195507,4195507,0,0
4197094,4260818,3,5
4197094,194421,2,2
4197094,36717630,3,3
4197094,4317964,3,4
4197094,4224161,3,4
4197094,36713393,3,3
4199402,199881,6,9
4199402,37110262,5,6
4199402,197033,6,7
4199402,4072148,6,7
4199402,4146995,4,4
4199402,4276944,6,9
4199402,4182703,6,8
4199402,4200841,5,10
4199402,4051345,6,7
4199402,4058381,7,11
4199402,4034015,7,10
4199402,37209399,7,10
4199402,4307585,7,9
4199402,200461,6,9
4199402,37209188,8,11
4199402,4003678,6,9
4199402,4127413,7,10
4199402,4132140,6,6
4199402,36713393,8,8
4199402,37119080,7,8
4199402,4222798,6,8
4199402,4224161,8,9
4199402,37117191,7,10
4199402,37209400,7,10
4199402,4019817,6,8
4199402,194421,7,7
4199402,139882,5,5
4199402,4317964,7,9
4199402,4260818,8,10
4199402,4189364,7,10
4199402,4272614,7,8
4199402,37110261,7,8
4199402,36717630,8,8
4199402,36713394,5,5
4199402,194420,7,10
4199402,4211992,6,9
4199402,4176409,6,6
4199402,4195507,6,8
4200841,4200841,0,0
4201745,4224161,4,7
4201745,36713393,4,6
4201745,4317964,4,7
4201745,4260818,4,8
4201745,36717630,4,6
4201745,194421,3,5
4206591,4034015,5,6
4207977,37117191,2,2
4207977,37209400,2,2
4207977,4034015,2,2
4207977,37209188,3,3
4207977,37209399,2,2
4207977,199881,1,1
4208786,4200841,1,1
4209224,4034015,4,4
4211992,4200841,1,1
4211992,4211992,0,0
4212577,4146995,4,4
4212577,139882,5,5
4222798,4222798,0,0
4224161,4224161,0,0
4227253,199881,5,5
4227253,4224161,5,6
4227253,4260818,5,7
4227253,37117191,6,6
4227253,36713393,5,5
4227253,37209399,6,6
4227253,4276944,5,5
4227253,4034015,6,7
4227253,36717630,5,5
4227253,194421,4,4
4227253,37209188,7,7
4227253,200461,5,5
4227253,4176409,3,3
4227253,4317964,5,6
4227253,194420,6,6
4227253,4051345,4,4
4227253,4127413,5,6
4227253,4189364,6,6
4227253,4058381,6,7
4227253,37209400,6,6
4230333,4230333,0,0
4239352,2109446,2,3
4239352,2109444,2,3
4239352,2109445,2,3
4244662,4200841,2,2
4260818,4260818,0,0
4264439,4264439,0,0
4270918,2109445,0,1
4270918,2109444,0,1
4270918,2109446,0,1
4272614,4272614,0,0
4274025,37209188,5,11
4274025,4276944,3,9
4274025,4003678,2,9
4274025,433527,1,1
4274025,4072148,3,7
4274025,4127413,4,10
4274025,4034015,4,10
4274025,4187787,2,2
4274025,4146995,3,7
4274025,4307585,2,9
4274025,36713393,3,9
4274025,4200841,4,10
4274025,4132140,2,6
4274025,4222798,4,8
4274025,4224161,3,10
4274025,4189364,4,10
4274025,37119080,4,8
4274025,200461,3,9
4274025,36717630,3,9
4274025,37209399,4,10
4274025,4182703,4,8
4274025,4288543,2,2
4274025,4264439,2,2
4274025,4272614,4,8
4274025,4034016,2,2
4274025,4260818,3,11
4274025,4317964,3,10
4274025,199881,3,9
4274025,36713394,3,5
4274025,4051345,5,7
4274025,4195507,4,8
4274025,4176409,4,6
4274025,37110262,2,6
4274025,37117191,4,10
4274025,37209400,4,10
4274025,4230333,2,2
4274025,197033,3,7
4274025,194421,2,8
4274025,194420,3,10
4274025,139882,4,8
4274025,4058381,4,11
4274025,37110261,4,8
4274025,4211992,3,9
4274025,4019817,4,8
4275431,2109446,3,7
4275431,2109444,3,7
4275431,2109445,3,7
4276944,4276944,0,0
4279903,2109446,2,4
4279903,2109444,2,4
4279903,2109445,2,4
4288085,4072148,1,1
4288543,4288543,0,0
4297887,194421,2,2
4297887,4260818,3,5
4297887,4317964,3,4
4297887,36713393,3,3
4297887,4224161,3,4
4297887,36717630,3,3
4300862,2109446,0,1
4300862,2109445,0,1
4300862,2109444,0,1
4301351,2109446,4,8
4301351,2109444,4,8
4301351,2109445,4,8
4301471,4276944,2,2
4302537,4260818,5,9
4302537,36717630,5,7
4302537,36713393,5,7
4302537,4224161,5,8
4302537,194421,4,6
4302537,4317964,5,8
4303951,4058381,2,2
4304916,36717630,4,5
4304916,36713393,4,5
4304916,4224161,4,6
4304916,194421,3,4
4304916,4317964,4,6
4304916,4260818,4,7
4304932,2109444,1,2
4304932,2109445,1,2
4304932,2109446,1,2
4305331,2109446,0,1
4305331,2109444,0,1
4305331,2109445,0,1
4307585,4307585,0,0
4308719,2109444,0,1
4308719,2109445,0,1
4308719,2109446,0,1
4309188,36717630,5,5
4309188,4224161,5,6
4309188,36713393,5,5
4309188,194421,4,4
4309188,4260818,5,7
4309188,4317964,5,6
4309433,2109446,1,2
4309433,2109444,1,2
4309433,2109445,1,2
4316083,4146995,1,1
4316083,139882,2,2
4317258,139882,3,3
4317258,4146995,2,2
4317964,4317964,0,0
4322976,2109444,4,10
4322976,2109445,4,10
4322976,2109446,4,10
4326426,2109445,3,6
4326426,2109446,3,6
4326426,2109444,3,6
4338843,4051345,1,1
4344265,4200841,1,1
4344497,4200841,2,2
4344497,4182703,2,2
4344497,37119080,2,2
4344497,4019817,2,2
4344497,4222798,2,2
4344497,197033,1,1
4344497,4072148,1,1
4344497,4146995,2,2
4344497,4195507,2,2
4344497,37110261,2,2
4344497,37110262,1,1
4344497,139882,3,3
4344497,4272614,2,2
36675054,2109446,5,8
36675054,2109444,5,8
36675054,2109445,5,8
36713393,36713393,0,0
36713394,4051345,2,2
36713394,4176409,1,1
36713394,36713394,0,0
36717630,36717630,0,0
37018424,4146995,2,2
37018424,139882,3,3
37110208,200461,2,2
37110208,4189364,3,3
37110208,37209399,3,3
37110208,4195507,1,1
37110208,194420,2,2
37110208,37209188,4,4
37110208,4211992,2,2
37110208,4003678,1,1
37110208,4307585,2,2
37110208,4127413,3,3
37110208,4034015,3,5
37110208,4222798,1,1
37110208,199881,2,2
37110208,37117191,3,3
37110208,37209400,3,3
37110208,4058381,3,3
37110208,4200841,3,3
37110208,4019817,1,1
37110208,4182703,1,1
37110261,37110261,0,0
37110262,37110262,0,0
37117191,37117191,0,0
37119080,37119080,0,0
37209188,37209188,0,0
37209383,37209188,2,2
37209383,37209400,1,1
37209384,37209188,2,2
37209384,37209399,1,1
37209399,37209399,0,0
37209399,37209188,1,1
37209400,37209400,0,0
37209400,37209188,1,1
37311677,36717630,5,5
37311677,197033,4,4
37311677,4272614,5,5
37311677,4019817,4,5
37311677,37110262,3,3
37311677,4034015,4,7
37311677,36713393,5,5
37311677,4307585,5,6
37311677,37209400,4,7
37311677,4260818,5,7
37311677,4127413,4,7
37311677,37209188,5,8
37311677,4189364,4,7
37311677,37119080,5,5
37311677,4195507,3,5
37311677,200461,3,6
37311677,37209399,4,7
37311677,4003678,5,6
37311677,194420,4,7
37311677,4276944,3,6
37311677,4224161,5,6
37311677,4211992,3,6
37311677,199881,3,6
37311677,37110261,5,5
37311677,37117191,4,7
37311677,194421,4,4
37311677,4058381,4,8
37311677,4317964,4,6
37311677,4200841,4,7
37311677,4072148,4,4
37311677,4132140,3,3
37311677,4182703,3,5
37311677,4222798,3,5
37311678,4182703,4,6
37311678,37117191,5,8
37311678,4260818,6,8
37311678,4019817,4,6
37311678,4058381,5,9
37311678,4132140,4,4
37311678,4224161,6,7
37311678,4276944,4,7
37311678,194421,5,5
37311678,37110261,6,6
37311678,4222798,4,6
37311678,4200841,5,8
37311678,4072148,4,5
37311678,4195507,4,6
37311678,4211992,4,7
37311678,36713393,6,6
37311678,194420,5,8
37311678,36717630,6,6
37311678,37119080,6,6
37311678,4034015,5,8
37311678,4127413,5,8
37311678,37209188,6,9
37311678,4307585,5,7
37311678,4272614,6,6
37311678,200461,4,7
37311678,4189364,5,8
37311678,37209399,5,8
37311678,4003678,4,7
37311678,37110262,4,4
37311678,197033,5,5
37311678,4317964,5,7
37311678,37209400,5,8
37311678,199881,4,7
38003620,38003620,0,0
38004207,8883,1,1
38004353,8850,1,1
38004353,8668,1,1
40481998,4034015,3,3
40486024,4034015,3,3
42898160,8546,1,1
43531053,37209188,5,6
43531053,37119080,4,4
43531053,194420,3,5
43531053,37110261,4,4
43531053,4003678,4,4
43531053,4127413,4,5
43531053,4307585,4,4
43531053,4034015,4,5
43531053,37117191,4,5
43531053,4211992,3,4
43531053,4317964,3,4
43531053,4195507,2,4
43531053,4019817,3,4
43531053,37209400,4,5
43531053,197033,3,3
43531053,199881,3,4
43531053,4200841,3,5
43531053,4058381,4,6
43531053,4276944,3,3
43531053,4222798,2,4
43531053,4132140,2,2
43531053,4189364,4,5
43531053,37209399,4,5
43531053,4272614,4,4
43531053,4182703,2,4
43531053,200461,3,4
43531054,200461,2,2
43531054,4317964,2,3
43531054,37117191,3,3
43531054,37209188,4,4
43531054,37119080,3,3
43531054,37209399,3,3
43531054,37209400,3,3
43531054,199881,2,2
43531054,4019817,3,3
43531054,197033,2,2
43531054,4058381,3,4
43531054,4272614,3,3
43531054,4034015,3,3
43531054,4189364,3,3
43531054,4127413,3,3
43531054,194420,2,3
43531054,4195507,3,3
43531054,37110261,3,3
43531054,4211992,2,2
43531054,4200841,2,3
43531054,4276944,2,2
43531054,4182703,3,3
43531054,4222798,3,3
43531054,4132140,1,1
43531055,4307585,3,3
43531056,4176409,3,3
43531056,36713394,2,2
43531056,4051345,4,4
43531057,4051345,4,5
43531057,36713394,3,3
43531057,4176409,4,4
43531058,4272614,5,5
43531058,37209399,4,6
43531058,4195507,5,5
43531058,4189364,4,6
43531058,36717630,5,5
43531058,194420,4,6
43531058,37110261,5,5
43531058,37119080,5,5
43531058,194421,4,4
43531058,4127413,4,6
43531058,36713393,5,5
43531058,200461,3,5
43531058,37209188,5,7
43531058,4034015,4,7
43531058,4211992,3,3
43531058,4317964,4,6
43531058,4072148,3,4
43531058,4182703,5,5
43531058,37110262,3,3
43531058,4058381,4,7
43531058,4200841,4,4
43531058,4019817,5,5
43531058,4224161,5,6
43531058,197033,4,4
43531058,37117191,4,6
43531058,4276944,3,5
43531058,4260818,5,7
43531058,4222798,5,5
43531058,37209400,4,6
43531058,199881,3,5
43531059,4132140,3,3
43531059,194420,4,6
43531059,4195507,3,5
43531059,4276944,4,5
43531059,4222798,3,5
43531059,4211992,4,5
43531059,37110261,5,5
43531059,4182703,3,5
43531059,4200841,4,6
43531059,4058381,5,7
43531059,200461,4,5
43531059,37209400,5,6
43531059,37119080,5,5
43531059,4317964,4,5
43531059,37209188,6,7
43531059,199881,4,5
43531059,4019817,4,5
43531059,4003678,4,5
43531059,4307585,4,5
43531059,37117191,5,6
43531059,197033,4,4
43531059,4272614,5,5
43531059,37209399,5,6
43531059,4189364,5,6
43531059,4127413,4,6
43531059,4034015,5,7
43531060,37209188,5,6
43531060,4132140,2,2
43531060,4200841,3,4
43531060,4127413,4,5
43531060,4034015,4,6
43531060,4276944,3,4
43531060,200461,3,4
43531060,4189364,4,5
43531060,4272614,4,4
43531060,37119080,4,4
43531060,4222798,4,4
43531060,37209399,4,5
43531060,4182703,4,4
43531060,37110261,4,4
43531060,197033,3,3
43531060,4317964,3,4
43531060,199881,3,4
43531060,37209400,4,5
43531060,37117191,4,5
43531060,4019817,4,4
43531060,4195507,4,4
43531060,4211992,3,3
43531060,194420,3,5
43531060,4058381,4,6
44784102,37209399,4,4
44784102,4127413,3,4
44784102,4034015,4,5
44784102,4189364,4,4
44784102,200461,3,3
44784102,37209188,5,5
44784102,37209400,4,4
44784102,194420,4,4
44784102,4276944,3,3
44784102,4058381,4,5
44784102,37117191,4,4
44784102,199881,3,3
45763613,4260818,1,1
45763639,4307585,2,2
45770990,4034015,2,2
45887797,2109444,1,1
45887797,2109445,1,1
45887797,2109446,1,1
45888067,2109446,2,2
45888067,2109445,2,2
45888067,2109444,2,2
45888085,2109444,5,5
45888085,2109446,5,5
45888085,2109445,5,5
45888353,2109446,4,4
45888353,2109445,4,4
45888353,2109444,4,4
45889197,2109446,6,6
45889197,2109444,6,6
45889197,2109445,6,6
45889721,2109445,3,3
45889721,2109446,3,3
45889721,2109444,3,3
46273429,194420,1,1
46273430,4058381,1,1
